status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
85014209445_10156113982289446,Happy 93rd birthday to Shri Atal Bihari Vajpayee!,Happy 93rd birthday to Shri Atal Bihari Vajpayee!,video,https://www.facebook.com/amul.coop/videos/10156113982289446/,2017-12-25 06:34:03,661,4,68,604,40,10,6,0,0,1
85014209445_10156108386744446,Dish out a delicious recipe for your loved ones this #Christmas,,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156108375659446/?type=3,2017-12-25 01:30:00,404,12,27,382,15,1,6,0,0,0
85014209445_10156105937439446,Christmas is here! Have a delightful time with #Amul Kool Strawberry Shakers.,,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156105923384446/?type=3,2017-12-25 00:30:00,395,5,44,379,10,2,4,0,0,0
85014209445_10156105920694446,A glassful of rich and creamy milk awaits you this Christmas!,,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156105920234446/?type=3,2017-12-24 21:30:01,26555,124,164,26161,220,37,93,2,6,36
85014209445_10156105911154446,Give the Christmas celebrations a cheesy touch with #Amul,,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156105909274446/?type=3,2017-12-24 09:00:00,313,6,20,302,10,0,1,0,0,0
85014209445_10156105907489446,Make every recipe rich and garlicky with #Amul.,,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156105904659446/?type=3,2017-12-24 08:00:00,548,8,30,522,20,1,4,0,1,0
85014209445_10156110338784446,Indulgence. Now sourced from a single origin.,,photo,https://www.facebook.com/amul.coop/photos/a.10152605095804446.1073741836.85014209445/10156110338739446/?type=3,2017-12-24 01:41:22,531,9,51,479,30,21,1,0,0,0
85014209445_10156108392239446,Enjoy the goodness of spiced buttermilk with #Amul,,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156108390244446/?type=3,2017-12-24 01:30:00,421,3,42,405,14,0,2,0,0,0
85014209445_10156105904274446,"This Christmas, enjoy the goodness of tasty milk!",,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156105900769446/?type=3,2017-12-23 21:30:00,449,6,38,434,13,0,1,0,0,1
85014209445_10156105962704446,Get lost in the crunchy and chocolaty taste of #Amul Bindaaz Wafers.,,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156105960319446/?type=3,2017-12-23 08:30:00,314,1,31,302,10,1,1,0,0,0
85014209445_10156108220564446,Treat yourself to tasty and mouth-watering aloo delicacies!,,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156108217814446/?type=3,2017-12-23 06:03:08,458,6,34,420,16,4,18,0,0,0
85014209445_10156105888944446,Make the perfect cup of tea or coffee with #Amulya dairy whitener.,,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156105886004446/?type=3,2017-12-22 21:30:00,271,4,21,262,8,0,1,0,0,0
85014209445_10156105852104446,#Amul Topical: Sachin unable to make speech in Rajya Sabha because of sloganeering!,,photo,https://www.facebook.com/amul.coop/photos/a.10152605095804446.1073741836.85014209445/10156105852039446/?type=3,2017-12-22 09:17:59,8679,38,246,7704,46,17,683,194,35,0
85014209445_10156105849019446,Get your snack on with delicious potato and mixed vegetable sticks.,,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156105846429446/?type=3,2017-12-22 09:16:47,367,6,36,356,8,1,1,0,1,0
85014209445_10156097614384446,#Amul Topical: BJP wins Gujarat and Himachal Pradesh elections!,,photo,https://www.facebook.com/amul.coop/photos/a.10152605095804446.1073741836.85014209445/10156097614314446/?type=3,2017-12-19 05:15:54,15331,86,411,14408,473,52,373,7,15,3
85014209445_10156086488954446,"#AmulRecipes: This winter, learn the simple homemade recipe of Gajar ka Halwa with #Amul #Mithaimate - https://goo.gl/kNRd2f 

You can also find 50 #Amul #Recipes in a language of your choice
English 
Hindi 
Marathi 
Gujarati 
Bengali 
Oriya
Assamese
Tamil 
Telugu
Kannada
Malayalam
on http://bit.ly/2w3xJ1n",,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156086488584446/?type=3,2017-12-15 08:52:01,342,6,21,328,10,1,0,3,0,0
85014209445_10156086096724446,#Amul Topical: MP's fondness for tweeting big words like 'Rodomontade'!,,photo,https://www.facebook.com/amul.coop/photos/a.10152605095804446.1073741836.85014209445/10156086096494446/?type=3,2017-12-15 07:14:01,6413,53,242,5420,116,9,864,1,0,3
85014209445_10156083290184446,#Amul Topical: Three double hundreds & a second anniversary!,,photo,https://www.facebook.com/amul.coop/photos/a.10152605095804446.1073741836.85014209445/10156083290149446/?type=3,2017-12-14 07:43:40,7833,20,224,7163,420,20,228,2,0,0
85014209445_10156077643189446,#Amul :  Happy Birthday Superstar Rajinikanth,Photos from Amul's post,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156077641339446/?type=3,2017-12-12 04:21:05,2582,14,214,2360,140,13,69,0,0,0
85014209445_10156077252954446,#Amul Topical: Much awaited Indian cricket captain- Bollywood actress marriage!,,photo,https://www.facebook.com/amul.coop/photos/a.10152605095804446.1073741836.85014209445/10156077252904446/?type=3,2017-12-12 00:43:56,8935,40,406,7886,351,24,671,1,1,1
85014209445_10156069784494446,"Happiness is eating your ice cream faster than it melts. 

Visit any of these Amul Scooping Parlours to spend some Happy Hours: http://amul.com/m/happy-hours-ice-cream",,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156069784139446/?type=3,2017-12-09 07:15:59,316,3,18,298,15,3,0,0,0,0
85014209445_10156069775844446,"Happiness is right around the corner! 

Visit any of these Amul Scooping Parlours to spend some Happy Hours: http://amul.com/m/amul-happy-hours",,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156069774754446/?type=3,2017-12-09 07:08:32,265,5,25,257,7,1,0,0,0,0
85014209445_10156066271624446,Nibble on the delicious French Fries from #Amul.,,video,https://www.facebook.com/amul.coop/videos/10156066271624446/,2017-12-08 08:09:00,323,13,51,300,15,5,2,0,1,0
85014209445_10156066254444446,"Indulge in a spicy, cheesy and tasty affair with #Amul.",,video,https://www.facebook.com/amul.coop/videos/10156066254444446/,2017-12-08 00:50:01,61,3,10,60,1,0,0,0,0,0
85014209445_10156060362614446,Thick and creamy #Amul milk for those who believe in getting the best of life.,,photo,https://www.facebook.com/amul.coop/photos/a.10152605095804446.1073741836.85014209445/10156060362549446/?type=3,2017-12-05 22:05:51,410,7,36,393,15,2,0,0,0,0
85014209445_10156058087484446,#Amul Topical: Tribute to an actor and a gentleman.,,photo,https://www.facebook.com/amul.coop/photos/a.10152605095804446.1073741836.85014209445/10156058087444446/?type=3,2017-12-05 04:33:42,16041,52,619,14875,614,17,19,515,0,1
85014209445_10156055728844446,#Amul Topical: Sri Lankan players protect themselves from smog!,,photo,https://www.facebook.com/amul.coop/photos/a.10152605095804446.1073741836.85014209445/10156055728689446/?type=3,2017-12-04 10:09:56,12298,53,363,10429,94,13,1746,4,10,2
85014209445_10156054514494446,Make way for a good cup of tea with Amulya Dairy Whitener,,photo,https://www.facebook.com/amul.coop/photos/a.10152605095804446.1073741836.85014209445/10156054514359446/?type=3,2017-12-03 21:47:23,342,9,45,333,8,1,0,0,0,0
85014209445_10156049214039446,Here's to an Utterly Butterly Delicious Day with #Amul Butter.,,photo,https://www.facebook.com/amul.coop/photos/a.10152605095804446.1073741836.85014209445/10156049213969446/?type=3,2017-12-02 01:10:20,586,9,60,557,27,2,0,0,0,0
85014209445_10156048941999446,Spice up your food with a slice of #Amul Cheese Slice.,,photo,https://www.facebook.com/amul.coop/photos/a.10152605095804446.1073741836.85014209445/10156048941879446/?type=3,2017-12-01 22:00:03,295,4,37,287,6,2,0,0,0,0
85014209445_10156044461159446,#Amul Topical: High profile engagement of TV star Meghan Markle & Prince Harry!,,photo,https://www.facebook.com/amul.coop/photos/a.10152605095804446.1073741836.85014209445/10156044461004446/?type=3,2017-11-30 07:39:12,7532,58,177,6996,170,18,343,2,2,1
85014209445_10156044388989446,Make snacking tastier with #Amul Cheese Onion Parantha,,photo,https://www.facebook.com/amul.coop/photos/a.10152605095804446.1073741836.85014209445/10156044388894446/?type=3,2017-11-30 06:48:33,950,29,80,900,29,19,2,0,0,0
85014209445_10156043659574446,Give bread a garlicky twist with #Amul Garlic Butter.,,photo,https://www.facebook.com/amul.coop/photos/a.10152605095804446.1073741836.85014209445/10156043659544446/?type=3,2017-11-29 22:56:59,642,12,63,614,22,5,1,0,0,0
85014209445_10156041765399446,#Amul Topical: US President's daughter comes to India!,,photo,https://www.facebook.com/amul.coop/photos/a.10152605095804446.1073741836.85014209445/10156041765309446/?type=3,2017-11-29 07:41:18,8592,38,210,8040,126,14,405,0,4,3
85014209445_10156041671749446,#IntroducingDrKurien : Episode 6,Introducing Dr Kurien - Episode 6,video,https://www.facebook.com/amul.coop/videos/10156041671749446/,2017-11-29 06:49:11,7459,57,271,7274,128,24,12,4,4,13
